时间/h,0 cm,0.5 cm,1 cm,1.5 cm,2 cm
0.5,32.1907,32.3836,32.9674,33.9620,35.4139
1.0,40.3815,40.5536,41.0604,41.8783,42.9977
1.5,45.8460,45.9341,46.1923,46.6045,47.1395
2.0,48.4497,48.4875,48.5979,48.7731,49.0030
2.5,49.4666,49.4789,49.5133,49.5652,49.6610
3.0,49.8494,49.8553,49.8745,49.9101,49.9664
