r_cm,T_C,C_kg_kg
0.0,50.000000000000156,0.14999974884227008
0.1,50.00000000000014,0.1499081770262346
0.2,50.000000000000156,0.14963547743557987
0.3,50.00000000000016,0.1491786055281399
0.4,50.00000000000015,0.14853389039704118
0.5,50.000000000000114,0.14769595714074704
0.6,50.0000000000001,0.14665746204815994
0.7000000000000001,50.00000000000012,0.14540870427965308
0.8,50.00000000000009,0.14393706537293946
0.9000000000000001,50.00000000000007,0.1422261978551942
1.0,50.000000000000085,0.14025483280578702
1.0999999999999999,50.0000000000001,0.13799498371260466
1.2,50.000000000000085,0.13540914840723747
1.3,50.00000000000008,0.13244575614749185
1.4000000000000001,50.00000000000005,0.12903133383028687
1.5,50.000000000000064,0.12505601287940551
1.6,50.00000000000008,0.12034397632581267
1.7000000000000002,50.000000000000085,0.11458431172921069
1.8000000000000003,50.000000000000085,0.1071308684942708
1.9,50.00000000000011,0.09614200499023304
2.0,50.0000000000001,0.05265305022852835
