r_m,T_C,C_kg_kg
0.0,50.000000000000156,0.14999974884227008
0.0001,50.000000000000156,0.14999884274380765
0.00030000000000000003,50.00000000000015,0.14999159395610834
0.0005,50.00000000000015,0.14997709414858496
0.0007,50.00000000000015,0.14995533885309473
0.0009000000000000001,50.00000000000014,0.1499263213576734
0.0011,50.00000000000015,0.14989003269479578
0.0013000000000000002,50.000000000000156,0.14984646162565085
0.0015,50.000000000000156,0.14979559462037306
0.0017000000000000001,50.00000000000016,0.14973741583415476
0.0019,50.000000000000156,0.1496719070791432
0.0021000000000000003,50.00000000000016,0.1495990477920165
0.0023,50.00000000000016,0.1495188149971077
0.0025,50.00000000000016,0.14943118326493288
0.0027,50.00000000000017,0.14933612466595342
0.0029000000000000002,50.00000000000016,0.14923360871939245
0.0031000000000000003,50.00000000000016,0.14912360233688737
0.0033,50.000000000000156,0.1490060697607525
0.0035,50.00000000000015,0.14888097249658963
0.0037,50.00000000000014,0.14874826923996085
0.0039000000000000003,50.00000000000015,0.1486079157968086
0.0041,50.00000000000014,0.14845986499727373
0.0043,50.00000000000015,0.14830406660253034
0.0045000000000000005,50.00000000000014,0.1481404672042153
0.0047,50.00000000000013,0.14796901011599062
0.0049,50.000000000000114,0.1477896352567281
0.0051,50.00000000000011,0.14760227902476597
0.0053,50.000000000000085,0.1474068741626166
0.0055000000000000005,50.000000000000064,0.14720334961145845
0.0057,50.00000000000007,0.14699163035467297
0.0059,50.00000000000009,0.14677163724961229
0.0061,50.00000000000011,0.14654328684670762
0.0063,50.000000000000114,0.1463064911949322
0.006500000000000001,50.000000000000114,0.14606115763253863
0.0067,50.000000000000114,0.14580718856187375
0.006900000000000001,50.00000000000012,0.14554448120695535
0.0071,50.00000000000012,0.1452729273523508
0.0073,50.000000000000114,0.14499241306174795
0.007500000000000001,50.0000000000001,0.14470281837443122
0.0077,50.0000000000001,0.14440401697768065
0.0079,50.00000000000009,0.14409587585289432
0.0081,50.00000000000009,0.1437782548929846
0.0083,50.00000000000009,0.14345100648831619
0.0085,50.000000000000085,0.143113975078144
0.008700000000000001,50.00000000000008,0.1427669966641391
0.0089,50.00000000000007,0.1424098982821905
0.0091,50.00000000000007,0.14204249742819788
0.009300000000000001,50.00000000000008,0.14166460143304047
0.0095,50.000000000000085,0.1412760067812963
0.0097,50.000000000000085,0.14087649836758445
0.0099,50.000000000000085,0.14046584868359996
0.010100000000000001,50.00000000000009,0.14004381692797405
0.0103,50.0000000000001,0.13961014803002636
0.0105,50.00000000000009,0.13916457157721743
0.010700000000000001,50.00000000000009,0.138706800634661
0.0109,50.0000000000001,0.13823653044336115
0.0111,50.0000000000001,0.13775343698184817
0.011300000000000001,50.000000000000085,0.13725717537355966
0.0115,50.00000000000007,0.1367473781195557
0.0117,50.00000000000008,0.1362236531329083
0.0119,50.000000000000085,0.13568558154723512
0.012100000000000001,50.000000000000085,0.13513271526723983
0.0123,50.0000000000001,0.13456457422360352
0.0125,50.0000000000001,0.13398064328793322
0.012700000000000001,50.000000000000085,0.13338036879546347
0.0129,50.00000000000008,0.1327631546134723
0.0131,50.00000000000008,0.13212835768151143
0.013300000000000001,50.000000000000085,0.13147528293500282
0.0135,50.00000000000008,0.13080317750580644
0.0137,50.00000000000007,0.13011122407111955
0.013900000000000001,50.00000000000005,0.12939853319429478
0.014100000000000001,50.00000000000006,0.12866413446627895
0.0143,50.000000000000064,0.1279069662122338
0.0145,50.00000000000007,0.127125863471661
0.014700000000000001,50.00000000000008,0.12631954388808084
0.0149,50.00000000000007,0.12548659105069992
0.0151,50.00000000000006,0.1246254347081111
0.015300000000000001,50.000000000000064,0.1237343271124927
0.0155,50.000000000000064,0.12281131453724538
0.015700000000000002,50.00000000000007,0.1218542027202259
0.0159,50.00000000000007,0.12086051458762803
0.0161,50.000000000000085,0.1198274380639973
0.016300000000000002,50.00000000000009,0.11875176100225213
0.0165,50.00000000000009,0.11762978916691376
0.0167,50.00000000000009,0.11645724160615241
0.016900000000000002,50.000000000000085,0.11522911538439191
0.0171,50.00000000000008,0.11393950807402947
0.0173,50.00000000000008,0.11258138087313271
0.0175,50.00000000000007,0.11114623641886598
0.0177,50.00000000000007,0.10962367094255163
0.0179,50.00000000000008,0.1080007359206134
0.0181,50.000000000000085,0.10626100106792821
0.0183,50.00000000000009,0.10438313020604797
0.018500000000000003,50.00000000000009,0.10233862388836668
0.0187,50.00000000000009,0.10008805104039606
0.0189,50.00000000000011,0.09757433129065031
0.019100000000000002,50.000000000000114,0.09470967868981572
0.0193,50.0000000000001,0.09134698908196857
0.0195,50.00000000000009,0.08720464389984368
0.019700000000000002,50.0000000000001,0.0815931579973027
0.0199,50.0000000000001,0.0654458765182786
0.02,50.0000000000001,0.05265305022852835
