xi,r_m,T_C,C_kg_kg
0.0,0.0,50.00000000000008,0.14999987407155618
0.005,6e-05,50.00000000000008,0.14999866092845662
0.015,0.00017999999999999998,50.00000000000008,0.14998895578366028
0.025,0.00030000000000000003,50.00000000000008,0.149969543316693
0.035,0.00042000000000000007,50.00000000000008,0.14994041916874734
0.045,0.00054,50.00000000000008,0.14990157679145497
0.055,0.00066,50.00000000000008,0.14985300743465127
0.065,0.0007800000000000001,50.00000000000008,0.14979470012999266
0.075,0.0009,50.00000000000008,0.14972664167036057
0.085,0.00102,50.0000000000001,0.14964881658497556
0.095,0.00114,50.0000000000001,0.14956120711012202
0.105,0.00126,50.0000000000001,0.14946379315537542
0.115,0.0013800000000000002,50.0000000000001,0.1493565522651958
0.125,0.0015,50.000000000000085,0.14923945957573967
0.135,0.0016200000000000001,50.000000000000085,0.14911248776671673
0.145,0.00174,50.00000000000009,0.1489756070081009
0.155,0.00186,50.00000000000009,0.14882878490147802
0.165,0.00198,50.00000000000008,0.14867198641579113
0.17500000000000002,0.0021000000000000003,50.000000000000085,0.14850517381721615
0.185,0.00222,50.00000000000009,0.1483283065928744
0.195,0.00234,50.0000000000001,0.14814134136805454
0.20500000000000002,0.0024600000000000004,50.0000000000001,0.14794423181658842
0.215,0.00258,50.0000000000001,0.14773692856398463
0.225,0.0027,50.0000000000001,0.14751937908288698
0.23500000000000001,0.00282,50.00000000000011,0.1472915275803837
0.245,0.00294,50.0000000000001,0.14705331487664353
0.255,0.0030600000000000002,50.00000000000009,0.14680467827430635
0.265,0.00318,50.00000000000008,0.14654555141799874
0.275,0.0033000000000000004,50.00000000000007,0.14627586414328458
0.28500000000000003,0.0034200000000000003,50.00000000000008,0.14599554231429107
0.295,0.0035399999999999997,50.000000000000085,0.1457045076491778
0.305,0.00366,50.000000000000085,0.1454026775325313
0.315,0.00378,50.00000000000008,0.14508996481367753
0.325,0.0039000000000000003,50.00000000000008,0.14476627758980015
0.335,0.00402,50.00000000000008,0.14443151897264286
0.34500000000000003,0.0041400000000000005,50.00000000000008,0.1440855868374423
0.355,0.00426,50.000000000000064,0.1437283735526027
0.365,0.00438,50.00000000000005,0.14335976568845804
0.375,0.0045000000000000005,50.00000000000004,0.14297964370329752
0.385,0.00462,50.00000000000004,0.1425878816046266
0.395,0.00474,50.00000000000004,0.14218434658341386
0.405,0.004860000000000001,50.00000000000004,0.14176889861882055
0.41500000000000004,0.004980000000000001,50.00000000000004,0.14134139005062776
0.425,0.0051,50.00000000000004,0.14090166511624846
0.435,0.00522,50.00000000000004,0.14044955944885276
0.445,0.00534,50.00000000000005,0.13998489953271384
0.455,0.0054600000000000004,50.00000000000006,0.13950750211141194
0.465,0.005580000000000001,50.00000000000006,0.13901717354399246
0.47500000000000003,0.0057,50.00000000000004,0.13851370910355557
0.485,0.00582,50.00000000000005,0.1379968922120489
0.495,0.00594,50.00000000000006,0.1374664936042137
0.505,0.00606,50.00000000000006,0.1369222704127012
0.515,0.006180000000000001,50.00000000000006,0.13636396516528293
0.525,0.0063,50.00000000000007,0.13579130468382403
0.535,0.00642,50.00000000000004,0.1352039988732171
0.545,0.006540000000000001,50.000000000000036,0.13460173938676975
0.555,0.006660000000000001,50.000000000000036,0.133984198152537
0.5650000000000001,0.0067800000000000004,50.00000000000004,0.13335102574273916
0.5750000000000001,0.006900000000000001,50.00000000000004,0.13270184956564637
0.585,0.007019999999999999,50.00000000000003,0.13203627185603328
0.595,0.00714,50.000000000000014,0.13135386743643457
0.605,0.00726,50.00000000000001,0.1306541812168035
0.615,0.00738,50.00000000000001,0.12993672539465387
0.625,0.0075,50.00000000000001,0.12920097631111827
0.635,0.00762,50.00000000000001,0.12844637091034197
0.645,0.00774,50.00000000000001,0.12767230273991995
0.655,0.00786,50.00000000000001,0.12687811741823535
0.665,0.007980000000000001,50.00000000000001,0.12606310748006208
0.675,0.008100000000000001,50.0,0.12522650649392822
0.685,0.008220000000000002,49.99999999999999,0.12436748232261031
0.6950000000000001,0.00834,49.999999999999986,0.12348512937053915
0.705,0.00846,49.999999999999986,0.12257845962729108
0.715,0.008579999999999999,49.999999999999986,0.12164639227260912
0.725,0.0087,50.0,0.12068774155273705
0.735,0.00882,50.00000000000001,0.11970120256645438
0.745,0.00894,50.00000000000001,0.11868533450682421
0.755,0.00906,50.00000000000001,0.11763854078410074
0.765,0.00918,50.000000000000014,0.11655904529632137
0.775,0.009300000000000001,50.00000000000003,0.11544486390248243
0.785,0.009420000000000001,50.00000000000003,0.11429376986818686
0.795,0.00954,50.000000000000036,0.11310325166514144
0.805,0.00966,50.00000000000004,0.11187046096929083
0.8150000000000001,0.00978,50.00000000000004,0.1105921479505214
0.8250000000000001,0.0099,50.00000000000005,0.10926457987679991
0.835,0.01002,50.00000000000006,0.10788343750607703
0.845,0.01014,50.00000000000004,0.10644368145238038
0.855,0.01026,50.000000000000036,0.1049393772650988
0.865,0.01038,50.000000000000036,0.10336346263925233
0.875,0.0105,50.000000000000036,0.10170743173944267
0.885,0.010620000000000001,50.00000000000003,0.09996089783880795
0.895,0.010740000000000001,50.00000000000003,0.09811097216517263
0.905,0.01086,50.00000000000002,0.0961413558103831
0.915,0.01098,50.000000000000014,0.09403096583492963
0.925,0.0111,50.0,0.09175176890905946
0.935,0.01122,49.999999999999986,0.0892651870360216
0.9450000000000001,0.011340000000000001,49.999999999999986,0.08651573742863715
0.9550000000000001,0.011460000000000001,49.999999999999986,0.08341878507910376
0.965,0.01158,49.99999999999998,0.07983403088940536
0.975,0.0117,49.999999999999964,0.07549708676447214
0.985,0.01182,49.99999999999997,0.06977888915670082
0.995,0.011940000000000001,49.99999999999998,0.05952283697934902
1.0,0.012,49.99999999999998,0.052618610488117876
