r_cm,T_C,C_kg_kg
0.0,50.00000000000008,0.14999987407155618
0.1,50.00000000000009,0.14966178743253972
0.2,50.00000000000008,0.14864418431602863
0.3,50.0000000000001,0.14692899657547492
0.4,50.00000000000008,0.14448731207550242
0.5,50.00000000000004,0.14126810256156455
0.6,50.00000000000006,0.13719438200845746
0.7,50.00000000000003,0.13214720147430215
0.8,50.00000000000001,0.1259236739823731
0.9,50.00000000000001,0.11816193764546247
1.0,50.00000000000006,0.1081136279011975
1.1,50.000000000000014,0.09365109968061792
1.2,49.99999999999998,0.052618610488117876
